1,Futbol maci kac dakika surer?,90,90|Jurgen Klopp|Fatih Terim|Johan Cruyff
1,Bir takim kac oyuncu ile cikar?,11,Erik ten Hag|Old Trafford|Ligue 1|11
1,Penalti mesafesi kac metredir?,11 metre,11 metre|Musiala|Sergio Ramos|Mikel Arteta
1,Bir takim kac oyuncu degistirebilir?,5,5|Mikel Arteta|Hakan Sukur|Aubameyang
1,Dunya Kupasi kac yilda bir?,4 yil,4 yil|Isvec|Kaka|Ali Sami Yen
1,EURO kac yilda bir?,4 yil,Jude Bellingham|Newcastle|Antoine Griezmann|4 yil
1,Hat trick ne demek?,3 gol,Turkiye Kupasi|Hirvatistan|3 gol|Mohamed Salah
1,Kirmizi kart gorunce ne olur?,Oyundan atilir,Sukru Saracoglu|Paul Pogba|Oyundan atilir|Kevin De Bruyne
1,En cok Dunya Kupasi kazanan?,Brezilya,Fenerbahce|Pep Guardiola|Brezilya|Kaleci
1,En cok Sampiyonlar Ligi kazanan?,Real Madrid,David Beckham|Pele|Real Madrid|Valencia
1,Barcelona stadi?,Camp Nou,Cristiano Ronaldo|Camp Nou|Gerd Muller|Anfield
1,Galatasaray stadi?,Ali Sami Yen,Belcika|Ali Sami Yen|Liverpool|Ronaldinho
1,Fenerbahce stadi?,Sukru Saracoglu,Aston Villa|Osimhen|Sukru Saracoglu|Marco van Basten
1,Besiktas stadi?,Vodafone Park,Rivaldo|Pele|Vodafone Park|Joshua Kimmich
1,Premier Lig hangi ulke?,Ingiltere,Besiktas Park|Michel Platini|Antonio Conte|Ingiltere
1,La Liga hangi ulke?,Ispanya,Bayern Munich|Ispanya|Paolo Maldini|Johan Cruyff
1,Serie A hangi ulke?,Italya,Erik ten Hag|EURO|Italya|Besiktas
1,Bundesliga hangi ulke?,Almanya,Luis Enrique|Tottenham|Ligue 1|Almanya
1,Ligue 1 hangi ulke?,Fransa,Chelsea|West Ham|Luka Modric|Fransa
1,Super Lig hangi ulke?,Turkiye,Dortmund|Turkiye|Marco van Basten|Rusya
1,Kirmizi Seytanlar hangi takim?,Manchester United,Ingiltere|Manchester United|Thibaut Courtois|Arjantin
1,Pele hangi ulke?,Brezilya,Japonya|Ibrahimovic|Brezilya|Thibaut Courtois
1,Messi hangi ulke?,Arjantin,Arjantin|Besiktas Park|Sevilla|EURO
1,Ronaldo hangi ulke?,Portekiz,Nedved|Signal Iduna|Portekiz|Celtic
1,Neymar hangi ulke?,Brezilya,Arjantin|Portekiz|San Siro|Brezilya
1,Mbappe hangi ulke?,Fransa,Bayern Munich|Thierry Henry|Pedri|Fransa
1,Salah hangi ulke?,Misir,Maracana|Misir|Ligue 1|Gianluigi Buffon
1,Zidane hangi ulke?,Fransa,Fransa|Neymar|Mohamed Salah|Sergio Aguero
1,Galatasaray kurulus?,1905,FA Cup|1905|Aubameyang|Romario
